
  ⟡ skillreaper — evidence-based pruning for your agent stack

  window:  last 30 days · 34 sessions

  ╔════════════════════════════════════════════════════════════════════╗
  ║  371 items never used · ~22720 dead tokens/session · ~$2.32/month  ║
  ╚════════════════════════════════════════════════════════════════════╝
  a floor, not a total: 11 unused items (MCP servers, hooks) carry weight that was never measured

  ⟡ utilization 1%  —  7/378 items fired · ~278/22998 tok touched (30d)

  ── SKILLS (description injected every session) ────────────────────────────────────────────────────────────
      ▸ reap  292 items · ~21415 tok/session
NAME                  TOK          SRC  PERM  USES  LAST   JUDGMENT
review-contract       ~63   ▰▱▱▱▱  own  all   0     never  REAP · unused
scaffold-contract     ~63   ▰▱▱▱▱  own  all   0     never  REAP · unused
translate-catalog     ~63   ▰▱▱▱▱  own  all   0     never  REAP · unused
validate-contract     ~63   ▰▱▱▱▱  own  all   0     never  REAP · unused
deploy-contract       ~62   ▰▱▱▱▱  own  all   0     never  REAP · unused
format-catalog        ~62   ▰▱▱▱▱  own  all   0     never  REAP · unused
import-contract       ~62   ▰▱▱▱▱  own  all   0     never  REAP · unused
publish-catalog       ~62   ▰▱▱▱▱  own  all   0     never  REAP · unused
review-catalog        ~62   ▰▱▱▱▱  own  all   0     never  REAP · unused
scaffold-catalog      ~62   ▰▱▱▱▱  own  all   0     never  REAP · unused
sync-sitemap          ~62   ▰▱▱▱▱  own  all   0     never  REAP · unused
validate-catalog      ~62   ▰▱▱▱▱  own  all   0     never  REAP · unused
compress-backlog      ~61   ▰▱▱▱▱  own  all   0     never  REAP · unused
deploy-catalog        ~61   ▰▱▱▱▱  own  all   0     never  REAP · unused
extract-report        ~61   ▰▱▱▱▱  own  all   0     never  REAP · unused
extract-schema        ~61   ▰▱▱▱▱  own  all   0     never  REAP · unused
import-catalog        ~61   ▰▱▱▱▱  own  all   0     never  REAP · unused
migrate-report        ~61   ▰▱▱▱▱  own  all   0     never  REAP · unused
migrate-schema        ~61   ▰▱▱▱▱  own  all   0     never  REAP · unused
parse-catalog         ~61   ▰▱▱▱▱  own  all   0     never  REAP · unused
resize-schema         ~61   ▰▱▱▱▱  own  all   0     never  REAP · unused
translate-backlog     ~61   ▰▱▱▱▱  own  all   0     never  REAP · unused
audit-report          ~60   ▰▱▱▱▱  own  all   0     never  REAP · unused
audit-schema          ~60   ▰▱▱▱▱  own  all   0     never  REAP · unused
format-backlog        ~60   ▰▱▱▱▱  own  all   0     never  REAP · unused
publish-backlog       ~60   ▰▱▱▱▱  own  all   0     never  REAP · unused
resize-report         ~60   ▰▱▱▱▱  own  all   0     never  REAP · unused
review-backlog        ~60   ▰▱▱▱▱  own  all   0     never  REAP · unused
scaffold-backlog      ~60   ▰▱▱▱▱  own  all   0     never  REAP · unused
sync-schema           ~60   ▰▱▱▱▱  own  all   0     never  REAP · unused
validate-backlog      ~60   ▰▱▱▱▱  own  all   0     never  REAP · unused
deploy-backlog        ~59   ▰▱▱▱▱  own  all   0     never  REAP · unused
extract-ledger        ~59   ▰▱▱▱▱  own  all   0     never  REAP · unused
import-backlog        ~59   ▰▱▱▱▱  own  all   0     never  REAP · unused
migrate-ledger        ~59   ▰▱▱▱▱  own  all   0     never  REAP · unused
parse-backlog         ~59   ▰▱▱▱▱  own  all   0     never  REAP · unused
resize-ledger         ~59   ▰▱▱▱▱  own  all   0     never  REAP · unused
sync-report           ~59   ▰▱▱▱▱  own  all   0     never  REAP · unused
audit-ledger          ~58   ▰▱▱▱▱  own  all   0     never  REAP · unused
sync-ledger           ~58   ▰▱▱▱▱  own  all   0     never  REAP · unused
translate-transcript  ~56   ▰▱▱▱▱  own  all   0     never  REAP · unused
compress-transcript   ~55   ▰▱▱▱▱  own  all   0     never  REAP · unused
extract-transcript    ~55   ▰▱▱▱▱  own  all   0     never  REAP · unused
migrate-transcript    ~55   ▰▱▱▱▱  own  all   0     never  REAP · unused
resize-transcript     ~55   ▰▱▱▱▱  own  all   0     never  REAP · unused
audit-transcript      ~54   ▰▱▱▱▱  own  all   0     never  REAP · unused
extract-roster        ~54   ▰▱▱▱▱  own  all   0     never  REAP · unused
format-transcript     ~54   ▰▱▱▱▱  own  all   0     never  REAP · unused
migrate-receipt       ~54   ▰▱▱▱▱  own  all   0     never  REAP · unused
migrate-roster        ~54   ▰▱▱▱▱  own  all   0     never  REAP · unused
parse-transcript      ~54   ▰▱▱▱▱  own  all   0     never  REAP · unused
resize-receipt        ~54   ▰▱▱▱▱  own  all   0     never  REAP · unused
review-transcript     ~54   ▰▱▱▱▱  own  all   0     never  REAP · unused
sync-transcript       ~54   ▰▱▱▱▱  own  all   0     never  REAP · unused
audit-receipt         ~53   ▰▱▱▱▱  own  all   0     never  REAP · unused
audit-roster          ~53   ▰▱▱▱▱  own  all   0     never  REAP · unused
extract-invoice       ~53   ▰▱▱▱▱  own  all   0     never  REAP · unused
extract-playlist      ~53   ▰▱▱▱▱  own  all   0     never  REAP · unused
migrate-invoice       ~53   ▰▱▱▱▱  own  all   0     never  REAP · unused
migrate-playlist      ~53   ▰▱▱▱▱  own  all   0     never  REAP · unused
resize-playlist       ~53   ▰▱▱▱▱  own  all   0     never  REAP · unused
resize-roster         ~53   ▰▱▱▱▱  own  all   0     never  REAP · unused
sync-receipt          ~53   ▰▱▱▱▱  own  all   0     never  REAP · unused
audit-playlist        ~52   ▰▱▱▱▱  own  all   0     never  REAP · unused
extract-changelog     ~52   ▰▱▱▱▱  own  all   0     never  REAP · unused
migrate-changelog     ~52   ▰▱▱▱▱  own  all   0     never  REAP · unused
resize-changelog      ~52   ▰▱▱▱▱  own  all   0     never  REAP · unused
resize-invoice        ~52   ▰▱▱▱▱  own  all   0     never  REAP · unused
sync-playlist         ~52   ▰▱▱▱▱  own  all   0     never  REAP · unused
sync-roster           ~52   ▰▱▱▱▱  own  all   0     never  REAP · unused
extract-dataset       ~51   ▰▱▱▱▱  own  all   0     never  REAP · unused
migrate-dataset       ~51   ▰▱▱▱▱  own  all   0     never  REAP · unused
sync-invoice          ~51   ▰▱▱▱▱  own  all   0     never  REAP · unused
resize-dataset        ~50   ▰▱▱▱▱  own  all   0     never  REAP · unused
sync-dataset          ~49   ▰▱▱▱▱  own  all   0     never  REAP · unused
extract-manifest      ~46   ▰▱▱▱▱  own  all   0     never  REAP · unused
migrate-manifest      ~46   ▰▱▱▱▱  own  all   0     never  REAP · unused
audit-manifest        ~45   ▰▱▱▱▱  own  all   0     never  REAP · unused
extract-contract      ~45   ▰▱▱▱▱  own  all   0     never  REAP · unused
migrate-contract      ~45   ▰▱▱▱▱  own  all   0     never  REAP · unused
resize-manifest       ~45   ▰▱▱▱▱  own  all   0     never  REAP · unused
resize-contract       ~44   ▰▱▱▱▱  own  all   0     never  REAP · unused
sync-manifest         ~44   ▰▱▱▱▱  own  all   0     never  REAP · unused
extract-catalog       ~43   ▰▱▱▱▱  own  all   0     never  REAP · unused
migrate-catalog       ~43   ▰▱▱▱▱  own  all   0     never  REAP · unused
resize-catalog        ~43   ▰▱▱▱▱  own  all   0     never  REAP · unused
sync-contract         ~43   ▰▱▱▱▱  own  all   0     never  REAP · unused
sync-catalog          ~42   ▰▱▱▱▱  own  all   0     never  REAP · unused
extract-backlog       ~41   ▰▱▱▱▱  own  all   0     never  REAP · unused
migrate-backlog       ~41   ▰▱▱▱▱  own  all   0     never  REAP · unused
resize-backlog        ~41   ▰▱▱▱▱  own  all   0     never  REAP · unused
sync-backlog          ~40   ▰▱▱▱▱  own  all   0     never  REAP · unused
summarise-transcript  ~38   ▰▱▱▱▱  own  all   0     never  REAP · unused
export-transcript     ~36   ▱▱▱▱▱  own  all   0     never  REAP · unused
render-transcript     ~36   ▱▱▱▱▱  own  all   0     never  REAP · unused
lint-transcript       ~35   ▱▱▱▱▱  own  all   0     never  REAP · unused

      ▸ mute  2 items · ~102 tok/session
NAME           TOK          SRC  PERM  USES  LAST        JUDGMENT
audit-invoice  ~52   ▰▱▱▱▱  own  all   4     2026-08-24  MUTE · heavy-rare
audit-dataset  ~50   ▰▱▱▱▱  own  all   5     2026-08-25  MUTE · heavy-rare

      ▸ keep  4 items · ~176 tok/session
NAME             TOK          SRC  PERM  USES  LAST        JUDGMENT
audit-changelog  ~51   ▰▱▱▱▱  own  all   8     2026-08-26  KEEP · used
audit-contract   ~43   ▰▱▱▱▱  own  all   6     2026-08-25  KEEP · used
audit-catalog    ~42   ▰▱▱▱▱  own  all   11    2026-08-27  KEEP · used
audit-backlog    ~40   ▰▱▱▱▱  own  all   17    2026-08-28  KEEP · used

  ── MCP SERVERS (tool schemas injected; weight unknown without running them) ──────────────────────────────────────────
──────────────────
      ▸ reap  11 items
NAME       TOK   SRC  PERM  USES  LAST   JUDGMENT
calendar      ?  usr  -     0     never  REAP · unused
chat          ?  usr  -     0     never  REAP · unused
crm           ?  usr  -     0     never  REAP · unused
email         ?  usr  -     0     never  REAP · unused
filestore     ?  usr  -     0     never  REAP · unused
maps          ?  usr  -     0     never  REAP · unused
metrics       ?  usr  -     0     never  REAP · unused
search        ?  usr  -     0     never  REAP · unused
tickets       ?  usr  -     0     never  REAP · unused
warehouse     ?  usr  -     0     never  REAP · unused
wiki          ?  usr  -     0     never  REAP · unused

      ▸ keep  1 items
NAME     TOK   SRC  PERM  USES  LAST        JUDGMENT
billing     ?  usr  -     8     2026-08-26  KEEP · used

  ── AGENTS (description injected every session) ────────────────────────────────────────────────────────────
      ▸ reap  68 items · ~1305 tok/session
NAME                  TOK          SRC  PERM  USES  LAST   JUDGMENT
transcript-inspector  ~21   ▰▰▰▰▰  own  all   0     never  REAP · unused
transcript-migrator   ~21   ▰▰▰▰▰  own  all   0     never  REAP · unused
changelog-builder     ~20   ▰▰▰▰▱  own  all   0     never  REAP · unused
changelog-checker     ~20   ▰▰▰▰▱  own  all   0     never  REAP · unused
changelog-inspector   ~20   ▰▰▰▰▱  own  all   0     never  REAP · unused
changelog-migrator    ~20   ▰▰▰▰▱  own  all   0     never  REAP · unused
changelog-planner     ~20   ▰▰▰▰▱  own  all   0     never  REAP · unused
contract-inspector    ~20   ▰▰▰▰▱  own  all   0     never  REAP · unused
contract-migrator     ~20   ▰▰▰▰▱  own  all   0     never  REAP · unused
manifest-inspector    ~20   ▰▰▰▰▱  own  all   0     never  REAP · unused
manifest-migrator     ~20   ▰▰▰▰▱  own  all   0     never  REAP · unused
playlist-inspector    ~20   ▰▰▰▰▱  own  all   0     never  REAP · unused
playlist-migrator     ~20   ▰▰▰▰▱  own  all   0     never  REAP · unused
timesheet-builder     ~20   ▰▰▰▰▱  own  all   0     never  REAP · unused
timesheet-checker     ~20   ▰▰▰▰▱  own  all   0     never  REAP · unused
timesheet-inspector   ~20   ▰▰▰▰▱  own  all   0     never  REAP · unused
timesheet-migrator    ~20   ▰▰▰▰▱  own  all   0     never  REAP · unused
transcript-builder    ~20   ▰▰▰▰▱  own  all   0     never  REAP · unused
transcript-checker    ~20   ▰▰▰▰▱  own  all   0     never  REAP · unused
backlog-builder       ~19   ▰▰▰▰▱  own  all   0     never  REAP · unused
backlog-checker       ~19   ▰▰▰▰▱  own  all   0     never  REAP · unused
backlog-inspector     ~19   ▰▰▰▰▱  own  all   0     never  REAP · unused
backlog-migrator      ~19   ▰▰▰▰▱  own  all   0     never  REAP · unused
backlog-planner       ~19   ▰▰▰▰▱  own  all   0     never  REAP · unused
catalog-builder       ~19   ▰▰▰▰▱  own  all   0     never  REAP · unused
catalog-checker       ~19   ▰▰▰▰▱  own  all   0     never  REAP · unused
catalog-inspector     ~19   ▰▰▰▰▱  own  all   0     never  REAP · unused
catalog-migrator      ~19   ▰▰▰▰▱  own  all   0     never  REAP · unused
catalog-planner       ~19   ▰▰▰▰▱  own  all   0     never  REAP · unused
contract-builder      ~19   ▰▰▰▰▱  own  all   0     never  REAP · unused
contract-checker      ~19   ▰▰▰▰▱  own  all   0     never  REAP · unused
contract-planner      ~19   ▰▰▰▰▱  own  all   0     never  REAP · unused
dataset-builder       ~19   ▰▰▰▰▱  own  all   0     never  REAP · unused
dataset-checker       ~19   ▰▰▰▰▱  own  all   0     never  REAP · unused
dataset-inspector     ~19   ▰▰▰▰▱  own  all   0     never  REAP · unused
dataset-migrator      ~19   ▰▰▰▰▱  own  all   0     never  REAP · unused
invoice-builder       ~19   ▰▰▰▰▱  own  all   0     never  REAP · unused
invoice-checker       ~19   ▰▰▰▰▱  own  all   0     never  REAP · unused
invoice-inspector     ~19   ▰▰▰▰▱  own  all   0     never  REAP · unused
